Rank,Title,Duration (min),Rating,Director,Cast,Release Date,Production Cost,Worldwide Gross,Opening Weekend,MPAA,Genre
150,Evan Almighty,96.0,5.4,Tom Shadyac,"Steve Carell, Morgan Freeman, Lauren Graham, Johnny Simmons",2007-06-22,175000000,174131329,31192615.0,PG,Comedy
151,Waterworld,135.0,6.3,Kevin Reynolds,"Kevin Costner, Jeanne Tripplehorn, Dennis Hopper, Tina Majorino",1995-07-28,175000000,264246220,21171780.0,PG-13,Action
152,Dolittle,101.0,5.6,Stephen Gaghan,"Robert Downey Jr., Antonio Banderas, Michael Sheen, Jim Broadbent",2020-01-08,175000000,251410631,21844045.0,PG,Adventure
153,King Arthur: Legend of the Sword,126.0,6.7,Guy Ritchie,"Charlie Hunnam, Astrid Bergès-Frisbey, Jude Law, Djimon Hounsou",2017-05-11,175000000,139630336,15371270.0,PG-13,Adventure
154,47 Ronin,128.0,6.2,Carl Rinsch,"Keanu Reeves, Hiroyuki Sanada, Kô Shibasaki, Tadanobu Asano",2013-12-06,175000000,151716815,9910310.0,PG-13,Action
156,Top Gun: Maverick,130.0,8.2,Joseph Kosinski,"Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer",2022-05-20,170000000,1478823595,126707459.0,PG-13,Action
157,Jurassic World: Fallen Kingdom,128.0,6.1,J.A. Bayona,"Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith",2018-06-06,170000000,1308334005,148024610.0,PG-13,Action
158,Guardians of the Galaxy,121.0,8.0,James Gunn,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana",2014-07-31,170000000,770882395,94320883.0,PG-13,Action
159,Iron Man 2,124.0,6.9,Jon Favreau,"Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow, Don Cheadle",2010-05-07,170000000,621156389,128122480.0,PG-13,Action
160,Captain America: The Winter Soldier,136.0,7.7,Anthony Russo,"Joe Russo, Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford",2014-03-28,170000000,714401889,95023721.0,PG-13,Action
161,Dawn of the Planet of the Apes,130.0,7.6,Matt Reeves,"Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee",2014-07-09,170000000,710644566,72611427.0,PG-13,Adventure
162,The Polar Express,100.0,6.6,Robert Zemeckis,"Tom Hanks, Chris Coppola, Michael Jeter, Leslie Zemeckis",2004-11-10,170000000,312719437,23325035.0,G,Adventure
163,Snow White and the Huntsman,127.0,6.1,Rupert Sanders,"Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin",2012-05-30,170000000,401021746,56217700.0,PG-13,Adventure
164,Terminator 3: Rise of the Machines,109.0,6.3,Jonathan Mostow,"Arnold Schwarzenegger, Nick Stahl, Kristanna Loken, Claire Danes",2003-07-01,170000000,433058296,44041440.0,R,Action
165,Van Helsing,131.0,6.1,Stephen Sommers,"Hugh Jackman, Kate Beckinsale, Richard Roxburgh, Shuler Hensley",2004-05-05,170000000,300150546,51748040.0,PG-13,Action
166,Dumbo,64.0,7.2,Samuel Armstrong,"Norman Ferguson, Wilfred Jackson, Jack Kinney, Bill Roberts, Ben Sharpsteen, John Elliotte, Sterling Holloway, Edward Brophy, Herman Bing, Billy Bletcher",2019-03-27,170000000,353166307,45990748.0,PG,Adventure
167,Dumbo,112.0,6.3,Tim Burton,"Colin Farrell, Michael Keaton, Danny DeVito, Eva Green",2019-03-27,170000000,353166307,45990748.0,PG,Adventure
168,Godzilla: King of the Monsters,132.0,6.0,Michael Dougherty,"Kyle Chandler, Vera Farmiga, Millie Bobby Brown, Ken Watanabe",2019-05-29,170000000,383299915,47776293.0,PG-13,Action
169,Tomorrowland,130.0,6.4,Brad Bird,"George Clooney, Britt Robertson, Hugh Laurie, Raffey Cassidy",2015-05-20,170000000,206627518,33028165.0,PG,Adventure
170,Alita: Battle Angel,122.0,7.3,Robert Rodriguez,"Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali",2019-02-01,170000000,401900040,28525613.0,PG-13,Action
171,Alice Through the Looking Glass,113.0,6.2,James Bobin,"Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway",2016-05-20,170000000,276928112,26858726.0,PG,Adventure
173,Shrek Forever After,93.0,6.3,Mike Mitchell,"Mike Myers, Cameron Diaz, Eddie Murphy, Antonio Banderas",2010-05-21,165000000,756244673,70838207.0,PG,Adventure
174,Doctor Strange,115.0,7.5,Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",2016-10-24,165000000,676354481,85058311.0,PG-13,Action
175,Big Hero 6,102.0,7.8,Don Hall,"Chris Williams, Ryan Potter, Scott Adsit, Jamie Chung, T.J. Miller",2014-10-25,165000000,648415024,56215889.0,PG,Adventure
